[kernel] Parsing duff_rte.c (with preprocessing)
[wp] Running WP plugin...
[wp] Warning: Missing RTE guards
[wp] duff_rte.c:7: Warning: 
  Missing assigns clause (assigns 'everything' instead)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_13_part7 (Qed 95ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_13_part6 (Qed 10ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_13_part5 (Qed 27ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_14_part2 (Qed 93ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_14_part1 (Qed 149ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_14_part6 (Qed 18ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_14_part5 (Qed 38ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_14_part4 (Qed 65ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_14_part3 (Qed 93ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_14_part7 (Qed 200ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_15_part1 (Qed 169ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_15_part2 (Qed 150ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_15_part4 (Qed 35ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_15_part3 (Qed 85ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_15_part7 (Qed 9ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_15_part6 (Qed 26ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_15_part5 (Qed 49ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_16_part1 (Qed 111ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_15_part8 (Qed 233ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_16_part5 (Qed 47ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_16_part4 (Qed 65ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_16_part3 (Qed 92ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_16_part2 (Qed 107ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_16_part6 (Qed 40ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_16_part7 (Qed 20ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_16_part8 (Qed 260ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_signed_overflow_2_part8 (Qed 186ms) (Alt-Ergo)
[wp] Proved goals:    8 / 83
  Unreachable:     1
  Qed:             7 (1ms-58ms-260ms)
  Timeout:        75
[wp:pedantic-assigns] duff_rte.c:1: Warning: 
  No 'assigns' specification for function 'duffsDevice'.
  Callers assumptions might be imprecise.
