[kernel] Parsing duff_rte.c (with preprocessing)
[wp] Running WP plugin...
[wp] Warning: Missing RTE guards
[wp] duff_rte.c:7: Warning: 
  Missing assigns clause (assigns 'everything' instead)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part2 (Qed 24ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part1 (Qed 32ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part5 (Qed 40ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part4 (Qed 5ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part3 (Qed 11ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part2 (Qed 20ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part4 (Qed 12ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part3 (Qed 29ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part2 (Qed 40ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part2 (Qed 27ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part1 (Qed 37ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part7 (Qed 45ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part6 (Qed 3ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part5 (Qed 8ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part4 (Qed 12ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part3 (Qed 19ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part2 (Qed 24ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part1 (Qed 33ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part6 (Qed 47ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part5 (Qed 7ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part4 (Qed 16ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part3 (Qed 31ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part5 (Qed 12ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part7 (Qed 49ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_signed_overflow_2_part7 (Qed 51ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part6 (Qed 6ms) (CVC5)
[wp] Proved goals:    7 / 66
  Unreachable:     1
  Qed:             6 (1ms-17ms-51ms)
  Unknown:        59
[wp:pedantic-assigns] duff_rte.c:1: Warning: 
  No 'assigns' specification for function 'duffsDevice'.
  Callers assumptions might be imprecise.
