[kernel] Parsing duff_rte.c (with preprocessing)
[wp] Running WP plugin...
[wp] Warning: Missing RTE guards
[wp] duff_rte.c:7: Warning: 
  Missing assigns clause (assigns 'everything' instead)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part3 (Qed 17ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part2 (Qed 24ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part1 (Qed 33ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part6 (Qed 42ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part5 (Qed 10ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_signed_overflow_2_part7 (Qed 55ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part7 (Qed 46ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part6 (Qed 6ms) (CVC4)
[wp] Proved goals:    7 / 66
  Unreachable:     1
  Qed:             6 (0.86ms-17ms-55ms)
  Unknown:        59
[wp:pedantic-assigns] duff_rte.c:1: Warning: 
  No 'assigns' specification for function 'duffsDevice'.
  Callers assumptions might be imprecise.
